"","address","lon","lat"
"94","Naya Paltan, Motijheel, Dhaka",90.4136962,23.7344694
"95","Avenue 6, Mirpur DOHS, Mirpur, Dhaka",90.3712778,23.8375272
"96","Block A, Section 11, Mirpur, Dhaka",90.3654204,23.8223486
"97","Block A, Section 6, Mirpur, Dhaka",90.3737745,23.7569718
"98","Turag, Dhaka",90.3686078,23.8762949
"99","Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",90.3692279,23.7572699
"100","Tolarbag, Section 1, Mirpur, Dhaka",90.3489496,23.8015639
"101","Senpara Parbata, Section 10, Mirpur, Dhaka",90.3743095,23.8023977
"102","Baridhara DOHS, Dhaka",90.4131072,23.8125614
"103","Block D, Section 15, Mirpur, Dhaka",90.3521844,23.824982
"104","Janata Housing Society, Adabor, Dhaka",90.3575025,23.769832
"105","Tajmahal Road, Mohammadpur, Dhaka",90.3621536,23.764683
"106","Kawlar, Dakshin Khan, Dhaka",90.4200507,23.8457796
"107","Sector 1, Block D, Aftab Nagar, Dhaka",90.4466991,23.7641281
"108","Gawair, Dakshin Khan, Dhaka",90.4154636,23.8586601
"109","Block E, Chandrima Model Town, Mohammadpur, Dhaka",90.3587745,23.7661386
"110","Lalbagh Road, Lalbagh, Dhaka",90.3861235,23.7208224
"111","Block TA, Section 12, Mirpur, Dhaka",90.369245,23.8286605
"112","Block B, Section 13, Mirpur, Dhaka",90.3783666,23.8089317
"113","Block B, Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"114","Block D, Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"115","Kalabagan, Dhaka",90.3830754,23.7494231
"116","Section 15, Mirpur, Dhaka",90.3654204,23.8223486
"117","Block C, Section 10, Mirpur, Dhaka",90.3742469,23.8096853
"118","West Dhanmondi, Dhanmondi, Dhaka",90.3664488,23.7489221
"119","Section 7, Mirpur, Dhaka",90.3642437,23.8178895
"120","Lalbagh, Dhaka",90.3866074,23.7181758
"121","Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",90.3589106,23.7558842
