"","address","lon","lat"
"389","Bochila, Mohammadpur, Dhaka",90.3589489,23.754687
"390","Naddapara, Dakshin Khan, Dhaka",90.4284263,23.8541632
"391","Block A, Dhaka Uddan, Mohammadpur, Dhaka",90.3723161,23.758
"392","Moushair, Dakshin Khan, Dhaka",90.4266584,23.8519373
"393","TIC Colony, Faydabad, Dakshin Khan, Dhaka",90.4086989,23.8744071
"394","Road No 6, Block B, Bashundhara R-A, Dhaka",90.4263946,23.8141568
"395","Road No 1, Sector 6, Uttara, Dhaka",90.4017795,23.8740346
"396","Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",90.3501258,23.8298204
"397","Block B, Mohanagar Housing, West Rampura, Rampura, Dhaka",90.4138364,23.7640558
"398","Tilpapara, Khilgaon, Dhaka",90.4284263,23.7470735
"399","Boro Maghbazar, Maghbazar, Dhaka",90.4109534,23.7485384
"400","West Mollartek, Dakshin Khan, Dhaka",90.4095728,23.8571886
"401","Block B, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"402","Block E, Section 1, Mirpur, Dhaka",90.3515962,23.8026734
"403","Goaltek, Faydabad, Dakshin Khan, Dhaka",90.4083948,23.878012
"404","Block D, Lalmatia, Dhaka",90.3686566,23.7542924
"405","Block G/1, Section 2, Mirpur, Dhaka",90.3571841,23.8060072
"406","Azimpur, Lalbagh, Dhaka",90.38543,23.7285918
"407","East Manikdi, Manikdi, Cantonment, Dhaka",90.3919059,23.8260022
"408","Kunipara, Tejgaon Industrial Area, Tejgaon, Dhaka",90.4072168,23.7634929
"409","Block C, Section 6, Mirpur, Dhaka",90.3654204,23.8223486
"410","South Goran, Goran, Khilgaon, Dhaka",90.4353762,23.7456528
"411","Block J, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"412","Kushumbag, Kalibari, Rajarbag, Bashabo, Dhaka",90.4442726,23.7385957
"413","Sunibir Housing Society, Adabor, Dhaka",90.3548312,23.7732898
"414","Mohakhali, Dhaka",90.4057408,23.7777571
"415","Block A, Section 13, Mirpur, Dhaka",90.3783666,23.8089317
"416","Block B, Section 11, Mirpur, Dhaka",90.3689508,23.8178783
"417","Block E, Bashundhara R-A, Dhaka",90.433141,23.8110194
"418","Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",90.348447,23.7464141
"419","Block F, Lalmatia, Dhaka",90.366834,23.7559649
"420","Banasree, Dhaka",90.433141,23.7619353
"421","Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",90.3708022,23.7554807
"422","Katabon, New Market, Dhaka",90.3837664,23.7331937
"423","Aftab Nagar, Dhaka",90.4466991,23.7641281
"424","Avenue 5, Block C, Section 11, Mirpur, Dhaka",90.3617174,23.8103366
"425","Jhilpar, Middle Pirerbag, Pirerbag, Mirpur, Dhaka",90.3647163,23.7864872
"426","Kawlar Moddho Para, Kawlar, Dakshin Khan, Dhaka",90.4200507,23.8457796
"427","Avenue 3, Mirpur DOHS, Mirpur, Dhaka",90.3672172,23.8368809
"428","Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"429","Purana Polton Lane, Purana Paltan, Motijheel, Dhaka",90.4116775,23.7370049
"430","Block C, Section 2, Mirpur, Dhaka",90.3571841,23.8060072
"431","Block E, Arambag Residential Area, Pallabi, Mirpur, Dhaka",90.3586548,23.8175306
